Attendance_ID,Employee_ID,Month,Working_Days,Present_Days,Leave_Days,Absent_Days,Overtime_Hours
ATT000103,EMP0009,2025-07-01 00:00:00,22,19,3,0,9.7
ATT000104,EMP0009,2025-08-01 00:00:00,22,22,0,0,5.8
ATT000105,EMP0009,2025-09-01 00:00:00,21,19,1,1,2.9
ATT000106,EMP0009,2025-10-01 00:00:00,23,19,1,3,11.4
ATT000107,EMP0009,2025-11-01 00:00:00,23,23,0,0,6.1
ATT000108,EMP0009,2025-12-01 00:00:00,21,20,0,1,3.1
ATT000109,EMP0010,2025-01-01 00:00:00,21,21,0,0,14.1
ATT000110,EMP0010,2025-02-01 00:00:00,21,19,2,0,12.1
ATT000111,EMP0010,2025-03-01 00:00:00,22,22,0,0,7.5
ATT000112,EMP0010,2025-04-01 00:00:00,21,16,1,4,5.3
ATT000113,EMP0010,2025-05-01 00:00:00,22,20,0,2,12
ATT000114,EMP0010,2025-06-01 00:00:00,22,20,1,1,1.9
ATT000115,EMP0010,2025-07-01 00:00:00,21,20,0,1,2.8
ATT000116,EMP0010,2025-08-01 00:00:00,22,20,0,2,3.9
ATT000117,EMP0010,2025-09-01 00:00:00,22,20,1,1,20.4
ATT000118,EMP0010,2025-10-01 00:00:00,22,18,1,3,3.3
ATT000119,EMP0010,2025-11-01 00:00:00,21,18,2,1,8.8
ATT000120,EMP0010,2025-12-01 00:00:00,22,17,2,3,0
ATT000121,EMP0011,2025-01-01 00:00:00,23,22,0,1,5.4
ATT000122,EMP0011,2025-02-01 00:00:00,21,21,0,0,18.8
ATT000123,EMP0011,2025-03-01 00:00:00,21,20,0,1,24.7
ATT000124,EMP0011,2025-04-01 00:00:00,21,17,0,4,1.8
ATT000125,EMP0011,2025-05-01 00:00:00,22,21,0,1,13.4
ATT000126,EMP0011,2025-06-01 00:00:00,22,15,3,4,14.7
ATT000127,EMP0011,2025-07-01 00:00:00,23,21,1,1,14.7
ATT000128,EMP0011,2025-08-01 00:00:00,22,22,0,0,6.4
ATT000129,EMP0011,2025-09-01 00:00:00,21,19,2,0,4.4
ATT000130,EMP0011,2025-10-01 00:00:00,22,21,1,0,16.2
ATT000131,EMP0011,2025-11-01 00:00:00,20,19,0,1,2.8
ATT000132,EMP0011,2025-12-01 00:00:00,22,21,1,0,14.7
ATT000133,EMP0012,2025-01-01 00:00:00,23,22,1,0,10.2
ATT000134,EMP0012,2025-02-01 00:00:00,23,22,0,1,8.5
ATT000135,EMP0012,2025-03-01 00:00:00,21,17,0,4,10.9
ATT000136,EMP0012,2025-04-01 00:00:00,22,20,2,0,6.6
ATT000137,EMP0012,2025-05-01 00:00:00,21,19,1,1,4.2
ATT000138,EMP0012,2025-06-01 00:00:00,21,16,2,3,0
ATT000139,EMP0012,2025-07-01 00:00:00,21,19,0,2,5.4
ATT000140,EMP0012,2025-08-01 00:00:00,23,22,0,1,4.4
ATT000141,EMP0012,2025-09-01 00:00:00,22,20,1,1,11.9
ATT000142,EMP0012,2025-10-01 00:00:00,21,21,0,0,7.2
ATT000143,EMP0012,2025-11-01 00:00:00,20,18,0,2,25.2
ATT000144,EMP0012,2025-12-01 00:00:00,23,23,0,0,9.8
ATT000145,EMP0013,2025-01-01 00:00:00,21,20,1,0,0
ATT000146,EMP0013,2025-02-01 00:00:00,20,18,1,1,8.7
ATT000147,EMP0013,2025-03-01 00:00:00,22,20,0,2,0
ATT000148,EMP0013,2025-04-01 00:00:00,23,18,2,3,2.5
ATT000149,EMP0013,2025-05-01 00:00:00,22,19,0,3,8.3
ATT000150,EMP0013,2025-06-01 00:00:00,20,18,1,1,9.3
ATT000151,EMP0013,2025-07-01 00:00:00,20,16,1,3,1.9
ATT000152,EMP0013,2025-08-01 00:00:00,21,21,0,0,10.7
ATT000153,EMP0013,2025-09-01 00:00:00,22,22,0,0,11
ATT000154,EMP0013,2025-10-01 00:00:00,22,18,1,3,8.1
ATT000155,EMP0013,2025-11-01 00:00:00,22,20,1,1,4.8
ATT000156,EMP0013,2025-12-01 00:00:00,23,19,2,2,5
ATT000157,EMP0014,2025-01-01 00:00:00,20,20,0,0,11.3
ATT000158,EMP0014,2025-02-01 00:00:00,22,18,2,2,0
ATT000159,EMP0014,2025-03-01 00:00:00,22,21,0,1,5
ATT000160,EMP0014,2025-04-01 00:00:00,21,21,0,0,2.1
ATT000161,EMP0014,2025-05-01 00:00:00,22,19,0,3,9
ATT000162,EMP0014,2025-06-01 00:00:00,22,18,3,1,14.9
ATT000163,EMP0014,2025-07-01 00:00:00,22,20,0,2,11.1
ATT000164,EMP0014,2025-08-01 00:00:00,21,18,1,2,15.6
ATT000165,EMP0014,2025-09-01 00:00:00,22,20,1,1,11
ATT000166,EMP0014,2025-10-01 00:00:00,21,19,0,2,2
ATT000167,EMP0014,2025-11-01 00:00:00,22,19,1,2,14.8
ATT000168,EMP0014,2025-12-01 00:00:00,22,20,1,1,7.1
ATT000169,EMP0015,2025-01-01 00:00:00,20,19,0,1,6
ATT000170,EMP0015,2025-02-01 00:00:00,22,18,2,2,12.3
ATT000171,EMP0015,2025-03-01 00:00:00,22,20,2,0,0
ATT000172,EMP0015,2025-04-01 00:00:00,22,21,1,0,7.4
ATT000173,EMP0015,2025-05-01 00:00:00,22,18,3,1,1.6
ATT000174,EMP0015,2025-06-01 00:00:00,23,18,1,4,3.3
ATT000175,EMP0015,2025-07-01 00:00:00,23,19,0,4,5.6
ATT000176,EMP0015,2025-08-01 00:00:00,20,20,0,0,0
ATT000177,EMP0015,2025-09-01 00:00:00,22,19,0,3,6.6
ATT000178,EMP0015,2025-10-01 00:00:00,21,19,0,2,0
ATT000179,EMP0015,2025-11-01 00:00:00,23,17,2,4,2.2
ATT000180,EMP0015,2025-12-01 00:00:00,23,20,1,2,0.6
ATT000181,EMP0016,2025-01-01 00:00:00,20,16,2,2,2.8
ATT000182,EMP0016,2025-02-01 00:00:00,21,15,2,4,4.5
ATT000183,EMP0016,2025-03-01 00:00:00,22,22,0,0,5.5
ATT000184,EMP0016,2025-04-01 00:00:00,22,18,0,4,8.2
ATT000185,EMP0016,2025-05-01 00:00:00,21,19,2,0,14.3
ATT000186,EMP0016,2025-06-01 00:00:00,22,20,1,1,7.5
ATT000187,EMP0016,2025-07-01 00:00:00,23,22,1,0,0
ATT000188,EMP0016,2025-08-01 00:00:00,21,19,0,2,0
ATT000189,EMP0016,2025-09-01 00:00:00,21,20,1,0,1.9
ATT000190,EMP0016,2025-10-01 00:00:00,21,17,3,1,4.2
ATT000191,EMP0016,2025-11-01 00:00:00,21,21,0,0,4
ATT000192,EMP0016,2025-12-01 00:00:00,22,18,1,3,6.1
ATT000193,EMP0017,2025-01-01 00:00:00,22,20,0,2,0.5
ATT000194,EMP0017,2025-02-01 00:00:00,22,18,1,3,0
ATT000195,EMP0017,2025-03-01 00:00:00,21,20,0,1,18.3
ATT000196,EMP0017,2025-04-01 00:00:00,20,17,3,0,0
ATT000197,EMP0017,2025-05-01 00:00:00,20,18,0,2,5.5
ATT000198,EMP0017,2025-06-01 00:00:00,22,15,2,5,12.2
ATT000199,EMP0017,2025-07-01 00:00:00,23,22,0,1,15.7
ATT000200,EMP0017,2025-08-01 00:00:00,23,21,0,2,0
ATT000201,EMP0017,2025-09-01 00:00:00,22,22,0,0,13.7
ATT000202,EMP0017,2025-10-01 00:00:00,23,21,2,0,7.7
ATT000203,EMP0017,2025-11-01 00:00:00,21,18,2,1,0
ATT000204,EMP0017,2025-12-01 00:00:00,22,22,0,0,7.9
ATT000205,EMP0018,2025-01-01 00:00:00,21,19,0,2,7.5
ATT000206,EMP0018,2025-02-01 00:00:00,21,20,1,0,7.3
ATT000207,EMP0018,2025-03-01 00:00:00,22,18,2,2,4.9
ATT000208,EMP0018,2025-04-01 00:00:00,23,21,0,2,13.7
ATT000209,EMP0018,2025-05-01 00:00:00,22,18,2,2,10.7
ATT000210,EMP0018,2025-06-01 00:00:00,21,17,1,3,6.4
ATT000211,EMP0018,2025-07-01 00:00:00,21,20,1,0,6.2
ATT000212,EMP0018,2025-08-01 00:00:00,20,17,1,2,0
ATT000213,EMP0018,2025-09-01 00:00:00,22,22,0,0,0.5
ATT000214,EMP0018,2025-10-01 00:00:00,21,19,1,1,10.7
ATT000215,EMP0018,2025-11-01 00:00:00,23,21,2,0,5.8
ATT000216,EMP0018,2025-12-01 00:00:00,21,19,0,2,9.7
ATT000217,EMP0019,2025-01-01 00:00:00,21,18,0,3,14.4
ATT000218,EMP0019,2025-02-01 00:00:00,20,16,2,2,0.3
ATT000219,EMP0019,2025-03-01 00:00:00,21,20,1,0,0.6
ATT000220,EMP0019,2025-04-01 00:00:00,21,18,1,2,7.6
ATT000221,EMP0019,2025-05-01 00:00:00,21,21,0,0,5.4
ATT000222,EMP0019,2025-06-01 00:00:00,21,19,0,2,13.8
ATT000223,EMP0019,2025-07-01 00:00:00,21,20,0,1,2
ATT000224,EMP0019,2025-08-01 00:00:00,21,19,1,1,0
ATT000225,EMP0019,2025-09-01 00:00:00,22,22,0,0,6.8
ATT000226,EMP0019,2025-10-01 00:00:00,23,22,0,1,6.6
ATT000227,EMP0019,2025-11-01 00:00:00,21,20,1,0,8.7
ATT000228,EMP0019,2025-12-01 00:00:00,22,21,1,0,22.2
ATT000229,EMP0020,2025-01-01 00:00:00,21,19,2,0,1
ATT000230,EMP0020,2025-02-01 00:00:00,22,22,0,0,9.2
ATT000231,EMP0020,2025-03-01 00:00:00,22,21,0,1,12.6
ATT000232,EMP0020,2025-04-01 00:00:00,22,20,2,0,4.8
ATT000233,EMP0020,2025-05-01 00:00:00,21,21,0,0,14.5
ATT000234,EMP0020,2025-06-01 00:00:00,22,22,0,0,8.5
ATT000235,EMP0020,2025-07-01 00:00:00,22,20,0,2,8.7
ATT000236,EMP0020,2025-08-01 00:00:00,20,16,2,2,8.8
ATT000237,EMP0020,2025-09-01 00:00:00,22,22,0,0,10.2
ATT000238,EMP0020,2025-10-01 00:00:00,23,23,0,0,5.4
ATT000239,EMP0020,2025-11-01 00:00:00,22,16,1,5,3.8
ATT000240,EMP0020,2025-12-01 00:00:00,23,22,1,0,0
ATT000241,EMP0021,2025-01-01 00:00:00,21,18,1,2,8.9
ATT000242,EMP0021,2025-02-01 00:00:00,22,21,0,1,16.4
ATT000243,EMP0021,2025-03-01 00:00:00,22,20,0,2,12.4
ATT000244,EMP0021,2025-04-01 00:00:00,22,19,2,1,15.5
ATT000245,EMP0021,2025-05-01 00:00:00,21,19,1,1,8.8
ATT000246,EMP0021,2025-06-01 00:00:00,23,18,1,4,0
ATT000247,EMP0021,2025-07-01 00:00:00,21,19,1,1,24.3
ATT000248,EMP0021,2025-08-01 00:00:00,23,22,1,0,7.6
ATT000249,EMP0021,2025-09-01 00:00:00,22,21,1,0,16.3
ATT000250,EMP0021,2025-10-01 00:00:00,22,19,2,1,8.2
ATT000251,EMP0021,2025-11-01 00:00:00,22,20,0,2,5.4
ATT000252,EMP0021,2025-12-01 00:00:00,20,18,1,1,3
ATT000253,EMP0022,2025-01-01 00:00:00,22,22,0,0,11.6
ATT000254,EMP0022,2025-02-01 00:00:00,22,19,1,2,8.6
ATT000255,EMP0022,2025-03-01 00:00:00,20,18,2,0,5.2
ATT000256,EMP0022,2025-04-01 00:00:00,20,15,1,4,17.2
ATT000257,EMP0022,2025-05-01 00:00:00,22,19,1,2,10.1
ATT000258,EMP0022,2025-06-01 00:00:00,22,19,0,3,10.4
ATT000259,EMP0022,2025-07-01 00:00:00,22,18,1,3,4.9
ATT000260,EMP0022,2025-08-01 00:00:00,22,20,1,1,1.4
ATT000261,EMP0022,2025-09-01 00:00:00,22,17,3,2,7.5
ATT000262,EMP0022,2025-10-01 00:00:00,23,21,1,1,13.9
ATT000263,EMP0022,2025-11-01 00:00:00,22,21,0,1,9.7
ATT000264,EMP0022,2025-12-01 00:00:00,22,21,0,1,16.9
ATT000265,EMP0023,2025-01-01 00:00:00,22,21,0,1,14.6
ATT000266,EMP0023,2025-02-01 00:00:00,22,22,0,0,0
ATT000267,EMP0023,2025-03-01 00:00:00,22,17,1,4,4.2
ATT000268,EMP0023,2025-04-01 00:00:00,21,20,0,1,15.7
ATT000269,EMP0023,2025-05-01 00:00:00,20,19,0,1,12.2
ATT000270,EMP0023,2025-06-01 00:00:00,21,20,1,0,4.2
ATT000271,EMP0023,2025-07-01 00:00:00,23,18,2,3,10.6
ATT000272,EMP0023,2025-08-01 00:00:00,22,18,2,2,10.4
ATT000273,EMP0023,2025-09-01 00:00:00,22,19,1,2,13
ATT000274,EMP0023,2025-10-01 00:00:00,20,18,1,1,9
ATT000275,EMP0023,2025-11-01 00:00:00,22,21,0,1,13.4
ATT000276,EMP0023,2025-12-01 00:00:00,21,16,1,4,6.6
ATT000277,EMP0024,2025-01-01 00:00:00,21,19,1,1,15.5
ATT000278,EMP0024,2025-02-01 00:00:00,22,22,0,0,1.7
ATT000279,EMP0024,2025-03-01 00:00:00,22,19,0,3,11.6
ATT000280,EMP0024,2025-04-01 00:00:00,21,18,0,3,12.3
ATT000281,EMP0024,2025-05-01 00:00:00,22,18,0,4,12.1
ATT000282,EMP0024,2025-06-01 00:00:00,21,20,0,1,1.5
ATT000283,EMP0024,2025-07-01 00:00:00,22,20,2,0,12.2
ATT000284,EMP0024,2025-08-01 00:00:00,22,20,1,1,16.8
ATT000285,EMP0024,2025-09-01 00:00:00,22,18,0,4,7.8
ATT000286,EMP0024,2025-10-01 00:00:00,21,19,0,2,0
ATT000287,EMP0024,2025-11-01 00:00:00,22,17,1,4,17
ATT000288,EMP0024,2025-12-01 00:00:00,22,18,3,1,7.8
ATT000289,EMP0025,2025-01-01 00:00:00,21,18,2,1,14.2
ATT000290,EMP0025,2025-02-01 00:00:00,21,16,3,2,12.6
ATT000291,EMP0025,2025-03-01 00:00:00,23,22,0,1,11.6
ATT000292,EMP0025,2025-04-01 00:00:00,22,20,0,2,0
ATT000293,EMP0025,2025-05-01 00:00:00,22,20,0,2,3.2
ATT000294,EMP0025,2025-06-01 00:00:00,20,18,2,0,11.6
ATT000295,EMP0025,2025-07-01 00:00:00,22,18,2,2,25.1
ATT000296,EMP0025,2025-08-01 00:00:00,20,17,3,0,6.1
ATT000297,EMP0025,2025-09-01 00:00:00,23,21,1,1,11.8
ATT000298,EMP0025,2025-10-01 00:00:00,21,18,1,2,8.4
ATT000299,EMP0025,2025-11-01 00:00:00,22,22,0,0,6.4
ATT000300,EMP0025,2025-12-01 00:00:00,20,20,0,0,7.3
ATT000301,EMP0026,2025-01-01 00:00:00,21,18,0,3,11.1
ATT000302,EMP0026,2025-02-01 00:00:00,23,20,1,2,0.3
ATT000303,EMP0026,2025-03-01 00:00:00,21,16,3,2,11.1
ATT000304,EMP0026,2025-04-01 00:00:00,22,20,1,1,0
ATT000305,EMP0026,2025-05-01 00:00:00,23,21,0,2,4.8
ATT000306,EMP0026,2025-06-01 00:00:00,21,18,2,1,0
ATT000307,EMP0026,2025-07-01 00:00:00,22,20,1,1,13.3
ATT000308,EMP0026,2025-08-01 00:00:00,21,19,0,2,2.1
ATT000309,EMP0026,2025-09-01 00:00:00,22,21,0,1,16.9
ATT000310,EMP0026,2025-10-01 00:00:00,22,22,0,0,2.1
ATT000311,EMP0026,2025-11-01 00:00:00,22,20,1,1,10.2
ATT000312,EMP0026,2025-12-01 00:00:00,20,18,1,1,5.8
ATT000313,EMP0027,2025-01-01 00:00:00,22,21,1,0,3.2
ATT000314,EMP0027,2025-02-01 00:00:00,22,20,0,2,5
ATT000315,EMP0027,2025-03-01 00:00:00,21,17,3,1,4.8
ATT000316,EMP0027,2025-04-01 00:00:00,21,19,1,1,12.9
ATT000317,EMP0027,2025-05-01 00:00:00,21,20,1,0,13.9
ATT000318,EMP0027,2025-06-01 00:00:00,21,18,0,3,17.9
ATT000319,EMP0027,2025-07-01 00:00:00,22,19,0,3,2
ATT000320,EMP0027,2025-08-01 00:00:00,21,19,1,1,15.6
ATT000321,EMP0027,2025-09-01 00:00:00,21,18,1,2,7.8
ATT000322,EMP0027,2025-10-01 00:00:00,23,23,0,0,6.6
ATT000323,EMP0027,2025-11-01 00:00:00,21,18,3,0,0
ATT000324,EMP0027,2025-12-01 00:00:00,20,18,1,1,2
ATT000325,EMP0028,2025-01-01 00:00:00,21,18,1,2,16.9
ATT000326,EMP0028,2025-02-01 00:00:00,22,21,0,1,8.6
ATT000327,EMP0028,2025-03-01 00:00:00,23,20,3,0,10.5
ATT000328,EMP0028,2025-04-01 00:00:00,22,22,0,0,12.8
ATT000329,EMP0028,2025-05-01 00:00:00,22,19,0,3,1.5
ATT000330,EMP0028,2025-06-01 00:00:00,21,16,2,3,5.8
ATT000331,EMP0028,2025-07-01 00:00:00,22,21,0,1,17
ATT000332,EMP0028,2025-08-01 00:00:00,21,20,0,1,1.5
ATT000333,EMP0028,2025-09-01 00:00:00,22,18,0,4,14.6
ATT000334,EMP0028,2025-10-01 00:00:00,20,18,1,1,11
ATT000335,EMP0028,2025-11-01 00:00:00,22,20,1,1,1.4
ATT000336,EMP0028,2025-12-01 00:00:00,22,21,0,1,5.8
ATT000337,EMP0029,2025-01-01 00:00:00,20,15,1,4,0
ATT000338,EMP0029,2025-02-01 00:00:00,21,18,0,3,4.7
ATT000339,EMP0029,2025-03-01 00:00:00,22,22,0,0,20.4
ATT000340,EMP0029,2025-04-01 00:00:00,22,22,0,0,8.5
ATT000341,EMP0029,2025-05-01 00:00:00,20,18,0,2,15.3
ATT000342,EMP0029,2025-06-01 00:00:00,21,21,0,0,11.2
ATT000343,EMP0029,2025-07-01 00:00:00,22,19,2,1,13.3
ATT000344,EMP0029,2025-08-01 00:00:00,21,19,0,2,5.1
ATT000345,EMP0029,2025-09-01 00:00:00,22,19,0,3,3.4
ATT000346,EMP0029,2025-10-01 00:00:00,21,18,3,0,6.2
ATT000347,EMP0029,2025-11-01 00:00:00,21,14,2,5,6.5
ATT000348,EMP0029,2025-12-01 00:00:00,22,19,0,3,10
ATT000349,EMP0030,2025-01-01 00:00:00,22,17,0,5,0
ATT000350,EMP0030,2025-02-01 00:00:00,22,20,0,2,15.9
ATT000351,EMP0030,2025-03-01 00:00:00,22,20,0,2,19.1
ATT000352,EMP0030,2025-04-01 00:00:00,21,20,1,0,7.4
ATT000353,EMP0030,2025-05-01 00:00:00,22,21,0,1,6.6
ATT000354,EMP0030,2025-06-01 00:00:00,21,17,1,3,8.3
ATT000355,EMP0030,2025-07-01 00:00:00,22,18,2,2,9.2
ATT000356,EMP0030,2025-08-01 00:00:00,21,20,0,1,7.9
ATT000357,EMP0030,2025-09-01 00:00:00,23,23,0,0,4.5
ATT000358,EMP0030,2025-10-01 00:00:00,21,19,0,2,15.2
ATT000359,EMP0030,2025-11-01 00:00:00,22,20,1,1,14.4
ATT000360,EMP0030,2025-12-01 00:00:00,21,20,0,1,9.3
ATT000361,EMP0031,2025-01-01 00:00:00,20,19,0,1,8.9
ATT000362,EMP0031,2025-02-01 00:00:00,20,18,1,1,0
ATT000363,EMP0031,2025-03-01 00:00:00,21,17,0,4,12.3
ATT000364,EMP0031,2025-04-01 00:00:00,22,19,1,2,9.9
ATT000365,EMP0031,2025-05-01 00:00:00,22,22,0,0,1.9
ATT000366,EMP0031,2025-06-01 00:00:00,22,22,0,0,5.8
ATT000367,EMP0031,2025-07-01 00:00:00,22,19,2,1,6.3
ATT000368,EMP0031,2025-08-01 00:00:00,23,20,1,2,5.8
ATT000369,EMP0031,2025-09-01 00:00:00,23,18,2,3,4.1
ATT000370,EMP0031,2025-10-01 00:00:00,22,18,0,4,6
ATT000371,EMP0031,2025-11-01 00:00:00,21,20,0,1,0
ATT000372,EMP0031,2025-12-01 00:00:00,21,21,0,0,11.3
ATT000373,EMP0032,2025-01-01 00:00:00,21,18,1,2,25.2
ATT000374,EMP0032,2025-02-01 00:00:00,21,19,0,2,2.6
ATT000375,EMP0032,2025-03-01 00:00:00,20,19,0,1,15.7
ATT000376,EMP0032,2025-04-01 00:00:00,22,18,3,1,7.7
ATT000377,EMP0032,2025-05-01 00:00:00,22,21,0,1,11.6
ATT000378,EMP0032,2025-06-01 00:00:00,23,19,0,4,8.7
ATT000379,EMP0032,2025-07-01 00:00:00,22,19,2,1,8.5
